signature_unique,english,english_gb,spanish
P135A,"Ordering Numbers up to 1,200","Ordering Numbers up to 1,200",Ordenando números hasta 1200
P135B,"Ordering Numbers up to 100,000","Ordering Numbers up to 100,000",Ordenando números hasta 100 000
P135C,Ordering Numbers including Decimals,Ordering Numbers including Decimals,Ordenando números incluyendo decimales
P136,Translating between Tables and Graphs,Translating between Tables and Graphs,Conversión entre cuadros y gráficos
P134,Building Equivalent Fractions,Building Equivalent Fractions,Creando fracciones equivalentes
P133,Comparing Decimals,Comparing Decimals,Comparando decimales
P131,Counting Values of Coins by Skip Counting,Counting Values of Coins by Skip Counting,Calculando los valores de monedas contando de dos en dos
P132,Counting Values of Mixed Coins by Skip Counting,Counting Values Mixed Coins by Skip Counting,Calculando los valores de diferentes monedas contando de dos en dos
P129,Locating Numbers to 100 on a Number Line,Locating Numbers to 100 on a Number Line,Localiza números en la recta numérica
P130,Fraction and Decimal Equivalence,Fraction and Decimal Equivalence,Equivalencia de fracciones y decimales
P128,Comparing Fractions,Comparing Fractions,Comparando fracciones
P127,Build and Compare Numbers with a Math Rack,Build and Compare Numbers with a Maths Rack,Crea y compara números utilizando un ábaco
P94H,Identifying Rules in Tables,Identifying Rules in Tables,Identificando reglas en cuadros
P94I,Identifying Rules in Tables and Graphs,Identifying Rules in Tables and Graphs,Identificando reglas en cuadros y gráficos
